"Target","Source","Year","Weight"
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",1994,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",1996,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",1998,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",1999,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2000,8
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2001,11
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2002,10
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2003,14
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2004,18
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2005,13
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2006,12
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2007,15
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2008,31
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2009,38
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2010,29
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2011,18
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2012,35
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2013,32
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2014,36
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2015,37
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2016,32
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2017,29
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2018,39
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2019,25
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS & PROBABILITY LETTERS",2020,28
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",1994,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",1995,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",1996,7
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",1997,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",1998,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",1999,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2000,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2001,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2002,10
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2003,12
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2004,17
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2005,12
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2006,29
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2007,23
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2008,23
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2009,24
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2010,42
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2011,74
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2012,33
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2013,38
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2014,63
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2015,81
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2016,87
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2017,83
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2018,66
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2019,46
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2020,93
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","STATISTICS AND COMPUTING",2021,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2010,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2016,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2017,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2018,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2019,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2020,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ADVANCES IN DATA ANALYSIS AND CLASSIFICATION",2021,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",1992,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",1995,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",1997,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",1999,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2004,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2006,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2007,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2008,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2013,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2014,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2016,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2017,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2019,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","AMERICAN STATISTICIAN",2020,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2007,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2008,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2009,10
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2010,20
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2011,21
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2012,14
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2013,34
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2014,19
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2015,20
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2016,20
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2017,23
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2018,15
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2019,14
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2020,14
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF APPLIED STATISTICS",2021,9
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1986,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1987,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1988,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1989,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1991,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1995,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1996,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1997,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1998,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",1999,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2001,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2003,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2005,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2006,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2007,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2008,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2009,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2010,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2011,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2012,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2013,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2014,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2015,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2016,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2017,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2018,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2019,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2020,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF STATISTICS",2021,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1988,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1994,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1998,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",1999,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2002,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2003,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2007,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2008,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2009,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2010,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2011,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2012,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2013,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2014,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2015,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2016,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2017,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2018,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS",2020,8
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2014,12
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2015,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2017,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2018,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2019,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2020,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION",2021,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",1999,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2006,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2007,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2010,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2013,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2014,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2015,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2016,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2017,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2018,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2020,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BERNOULLI",2021,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1984,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1985,2
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1986,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1987,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1988,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1989,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1990,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1991,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1992,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1993,7
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1994,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1995,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1996,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1997,4
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1998,5
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",1999,12
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2000,10
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2001,15
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2002,20
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2003,19
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2004,30
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2005,18
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2006,31
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2007,21
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2008,16
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2009,15
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2010,25
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2011,19
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2012,21
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2013,30
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2014,21
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2015,23
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2016,26
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2017,19
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2018,19
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2019,30
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2020,15
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRICS",2021,21
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRIKA",1984,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRIKA",1985,1
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRIKA",1986,3
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRIKA",1987,6
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS","BIOMETRIKA",1990,1
